#objectID mag0 amp ra dec
583703 14.34 0.32 261.479306 60.182963
825390 14.35 0.29 154.911441 26.384907
880489 14.35 0.17 215.457195 -19.849633
586661 14.37 0.22 161.238916 2.381388
590747 14.37 0.25 212.488431 1.441413
742169 14.38 0.20 205.042486 13.754306
588319 14.38 0.28 213.076959 3.079881
1298493 14.38 0.20 132.705622 16.310414
739922 14.40 0.36 233.506866 32.254856
788082 14.40 0.39 245.832384 18.640120
772745 14.41 0.35 185.366766 36.272543
1290528 14.41 0.34 240.404153 5.145867
1255421 14.43 0.36 224.528144 56.505076
592625 14.43 0.32 224.978880 4.740566
710181 14.44 0.36 140.839022 38.643487
832017 14.44 0.10 191.680896 28.469354
740094 14.44 0.27 243.886126 24.676951
742019 14.44 0.32 209.175899 12.911646
1314814 14.45 0.26 190.603784 -0.200878
786510 14.45 0.38 134.812155 23.872763
801654 14.46 0.22 221.053887 20.611423
858720 14.46 0.10 161.662780 15.054493
801099 14.47 0.35 236.145017 21.583899
580953 14.47 0.42 242.003484 51.186810
696066 14.47 0.37 238.113225 39.924211
742459 14.47 0.29 218.197422 12.785152
637117 14.47 0.36 227.834902 -2.073256
800882 14.48 0.35 244.487376 17.315588
588815 14.48 0.46 229.351028 2.073336
582989 14.48 0.20 131.837710 55.781827
624663 14.48 0.22 202.504548 3.927747
826681 14.49 0.30 194.213336 28.176409
1282766 14.49 0.28 195.877915 42.285597
1301294 14.50 0.41 132.574686 33.556016
799128 14.51 0.21 219.641125 23.337841
1292994 14.52 0.29 134.677779 17.660417
592402 14.53 0.31 231.345772 3.984100
760929 14.54 0.36 131.690926 61.729526
629286 14.54 0.40 256.755433 30.452732
851403 14.54 0.22 214.331120 15.607529
855968 14.55 0.56 231.658033 11.853466
778652 14.55 0.26 223.368978 30.486704
724202 14.55 0.33 147.317104 36.052599
584186 14.55 0.35 186.336272 1.548481
1280866 14.55 0.39 206.582911 51.406654
792210 14.56 0.46 193.697237 31.279211
855565 14.57 0.69 225.026706 12.813455
1272384 14.57 0.29 164.982687 43.250662
1288854 14.59 0.42 242.781290 34.624953
562936 14.60 0.21 195.806769 -1.372802
589632 14.60 0.34 163.311284 1.200379
583706 14.61 0.47 261.659559 59.820111
788829 14.61 0.33 184.571027 33.665547
